video_name,vid,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,target_encode_energy_uj,decode_energy_uj,total_energy_uj
Sports_2160P-086d,Sports_2160P-086d,2160,3840,2160,yuv420p,23.97602398,2386411,185630,49.988939,99.993888,10,14384.36296971276,931.1617919898144,15315.524761702574
Sports_2160P-086d,Sports_2160P-086d,2160,3840,2160,yuv420p,23.97602398,2386411,49861,42.960278,99.623719,20,8547.811360764174,462.12977475087627,9009.941136
Sports_2160P-086d,Sports_2160P-086d,2160,3840,2160,yuv420p,23.97602398,2386411,8184,38.033196,91.252846,30,4526.841529809612,221.86793606569563,4748.7094658753085
Sports_2160P-086d,Sports_2160P-086d,2160,3840,2160,yuv420p,23.97602398,2386411,1703,33.21803,63.840802,40,3000.7114571069774,152.5862047812903,3153.297661888268
Sports_2160P-086d,Sports_2160P-086d,2160,3840,2160,yuv420p,23.97602398,2386411,497,28.066859,19.859345,50,2554.902009,131.94908324268573,2686.851092547356
Sports_2160P-086d,Sports_2160P-086d_downsample_1080p,1080,1920,1080,yuv420p,23.97602398,2386411,49071,39.484596,98.00204,10,3531.482868837729,333.5851559269459,3865.068024764674
Sports_2160P-086d,Sports_2160P-086d_downsample_1080p,1080,1920,1080,yuv420p,23.97602398,2386411,12763,37.919544,92.767663,20,2320.854752928962,156.5213861626041,2477.376139091566
Sports_2160P-086d,Sports_2160P-086d_downsample_1080p,1080,1920,1080,yuv420p,23.97602398,2386411,2743,34.870374,74.691834,30,1070.8782172172248,58.42468040617421,1129.302897623399
Sports_2160P-086d,Sports_2160P-086d_downsample_1080p,1080,1920,1080,yuv420p,23.97602398,2386411,645,30.083852,37.996417,40,741.0090805741931,36.04117048471578,777.0502510589089
Sports_2160P-086d,Sports_2160P-086d_downsample_1080p,1080,1920,1080,yuv420p,23.97602398,2386411,147,25.939198,0.941547,50,600.4258192136111,26.113449304383337,626.5392685179945
Sports_2160P-086d,Sports_2160P-086d_downsample_720p,720,1280,720,yuv420p,23.97602398,2386411,22526,34.82377,84.004853,10,1595.9061496942977,133.69387274697505,1729.6000224412728
Sports_2160P-086d,Sports_2160P-086d_downsample_720p,720,1280,720,yuv420p,23.97602398,2386411,6281,34.098841,76.006942,20,951.9756129696008,60.18873908387298,1012.1643520534736
