video_name,vid,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,target_encode_energy_uj,decode_energy_uj,total_energy_uj
Sports_2160P-1b70,Sports_2160P-1b70,2160,3840,2160,yuv420p,29.97002997,2983014,159628,49.463997,99.066262,10,32163.60357294331,1776.8310741176472,33940.43464706096
Sports_2160P-1b70,Sports_2160P-1b70,2160,3840,2160,yuv420p,29.97002997,2983014,44789,43.013028,96.638991,20,18221.15150515849,953.4083491304348,19174.559854288924
Sports_2160P-1b70,Sports_2160P-1b70,2160,3840,2160,yuv420p,29.97002997,2983014,4700,39.060926,87.742202,30,9685.419266102812,324.8413533333333,10010.260619436143
Sports_2160P-1b70,Sports_2160P-1b70,2160,3840,2160,yuv420p,29.97002997,2983014,912,34.817706,59.543068,40,7256.542937775405,415.6760261,7672.218963900405
Sports_2160P-1b70,Sports_2160P-1b70,2160,3840,2160,yuv420p,29.97002997,2983014,270,29.513733,21.796449,50,6706.360227,176.16943333333336,6882.529660744934
Sports_2160P-1b70,Sports_2160P-1b70_downsample_1080p,1080,1920,1080,yuv420p,29.97002997,2983014,61068,41.275148,95.115125,10,8749.527820637208,828.1693487983094,9577.697169435518
Sports_2160P-1b70,Sports_2160P-1b70_downsample_1080p,1080,1920,1080,yuv420p,29.97002997,2983014,8860,39.216904,89.032816,20,3531.625267977593,343.0869194975844,3874.712187475178
Sports_2160P-1b70,Sports_2160P-1b70_downsample_1080p,1080,1920,1080,yuv420p,29.97002997,2983014,1451,36.549505,72.348992,30,2085.173317814208,158.10375256097555,2243.2770703751835
Sports_2160P-1b70,Sports_2160P-1b70_downsample_1080p,1080,1920,1080,yuv420p,29.97002997,2983014,340,32.093806,37.208371,40,1720.2273271196402,123.69765693333336,1843.9249840529733
Sports_2160P-1b70,Sports_2160P-1b70_downsample_1080p,1080,1920,1080,yuv420p,29.97002997,2983014,93,27.249694,8.530185,50,1590.0726828030292,87.95023871111111,1678.0229215141403
Sports_2160P-1b70,Sports_2160P-1b70_downsample_720p,720,1280,720,yuv420p,29.97002997,2983014,24836,37.763643,86.665327,10,4206.806339798473,539.5588475826446,4746.365187381118
Sports_2160P-1b70,Sports_2160P-1b70_downsample_720p,720,1280,720,yuv420p,29.97002997,2983014,4178,36.800904,78.208269,20,1963.1533724560263,233.15862755555565,2196.3120000115823
Sports_2160P-1b70,Sports_2160P-1b70_downsample_720p,720,1280,720,yuv420p,29.97002997,2983014,840,34.560456,57.363059,30,1138.2450650176766,124.48001991379311,1262.7250849314696
